Type,Location,Bedrooms,Bathrooms,Floor,Floors Area,Lot Area,Garage,Garden,Pet Friendly,Reservation Fee,Price
House and Lot,Las Pinas City,2,2,2,88,53,1,yes,yes,25000,4916000
House and Lot,Las Pinas City,2,2,2,54,43,1,no,no,0,3500000
Townhouse,Las Pinas City,2,2,2,49,66,1,yes,yes,20000,4228000
Townhouse,Las Pinas City,2,2,2,98.07,56,1,no,yes,50000,3994000
Townhouse,Las Pinas City,2,2,2,100,50,1,yes,yes,0,4500000
House and Lot,Las Pinas City,3,2,2,100,60,1,yes,yes,50000,4999999
House and Lot,Las Pinas City,2,2,2,46,64,1,yes,yes,20000,4065000
Townhouse,Las Pinas City,2,2,2,94.81,56,1,yes,yes,50000,4990000
House and Lot,Las Pinas City,2,2,2,48,67,1,yes,yes,20000,3784000
House and Lot,Las Pinas City,2,2,2,94.81,51,1,yes,yes,50000,4915000
House and Lot,Las Pinas City,2,2,2,60,48,1,no,no,0,3699000
House and Lot,Las Pinas City,2,2,2,94,51,1,yes,yes,50000,4915000
House and Lot,Las Pinas City,2,2,2,94,56,1,no,no,50000,4990000
Townhouse,Muntinlupa City,2,2,2,52,60,1,yes,yes,20000,3900000
House and Lot,Las Pinas City,2,2,2,54,43,1,no,no,0,3500000
House and Lot,Caloocan City,3,2,2,79,74.25,1,no,no,0,4681600
House and Lot,Las Pinas City,3,2,2,78,58.44,1,no,no,30000,4987000
Townhouse,Las Pinas City,2,2,2,67,55,1,no,no,20000,3900000
Townhouse,Las Pinas City,2,2,2,100,50,1,yes,yes,0,4500000
Townhouse,Las Pinas City,3,2,2,98.7,56,1,no,yes,50000,3994000
Townhouse,Quezon City,2,2,2,78.28,50,1,yes,yes,0,3300000
House and Lot,Las Pinas City,2,2,2,94,56,1,yes,yes,50000,4990000
House and Lot,Las Pinas City,2,2,2,78,24,1,yes,yes,20000,3250000
Townhouse,Las Pinas City,2,2,2,98,56,1,yes,yes,50000,3994000
House and Lot,Marikina City,3,2,2,88.91,53.67,1,yes,yes,25000,5000000
Townhouse,Quezon City,3,2,2,69.13,50,2,yes,yes,0,3000000
House and Lot,Las Pinas City,2,2,2,94.81,56,1,yes,yes,50000,4990000
House and Lot,Las Pinas City,2,2,2,46,39,1,no,yes,20000,4052000
House and Lot,Las Pinas City,2,1,2,67,52,1,no,yes,20000,3900000
Townhouse,Muntinlupa City,2,2,2,46,41,1,yes,yes,20000,2990000
House and Lot,Las Pinas City,2,2,2,49,66,1,yes,yes,20000,4228000
House and Lot,Pasig City,4,4,3,222.79,80,1,yes,yes,0,5000000
House and Lot,Marikina City,3,2,2,120,189,2,yes,yes,0,3500000
House and Lot,Las Pinas City,2,2,2,42,33,1,no,yes,20000,2937000
